Common Name,Symbol,Scientific Name,Family Symbol,Family Common Name,Active Growth Period,Fall Conspicuous,Flower Color,Flower Conspicuous,Foliage Color,Foliage Texture,Fruit Color,Fruit Conspicuous,Leaf Retention,Shape and Orientation,Bloom Period,Commercial Availability
California foothill pine,PISA2,Pinus sabiniana,PINACE,Pine family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,Yes,Erect,Early Spring,Contracting Only
pond pine,PISE,Pinus serotina,PINACE,Pine family,Spring and Summer,No,Yellow,No,Green,Coarse,Brown,No,Yes,Conical,Late Spring,Routinely Available
eastern white pine,PIST,Pinus strobus,PINACE,Pine family,Spring and Summer,No,Red,No,Dark Green,Fine,Brown,Yes,Yes,Erect,Late Spring,Routinely Available
Scots pine,PISY,Pinus sylvestris,PINACE,Pine family,Spring and Summer,No,No Flower,No,Green,Medium,Brown,No,Yes,Conical,Mid Spring,Routinely Available
loblolly pine,PITA,Pinus taeda,PINACE,Pine family,Spring and Summer,No,No Flower,No,Green,Medium,Brown,No,Yes,Rounded,Mid Spring,Routinely Available
Virginia pine,PIVI2,Pinus virginiana,PINACE,Pine family,Spring and Summer,No,No Flower,No,Green,Coarse,Brown,No,Yes,Irregular,Mid Spring,Routinely Available
Japanese cheesewood,PITO2,Pittosporum tobira,PITTOS,Pittosporum family,Spring; Summer; Fall,No,White,Yes,White-Gray,Coarse,Orange,Yes,Yes,Erect,Late Spring,Routinely Available
Cape cheesewood,PIVI5,Pittosporum viridiflorum,PITTOS,Pittosporum family,Spring; Summer; Fall,No,Yellow,Yes,White-Gray,Coarse,Orange,Yes,Yes,Erect,Late Spring,Routinely Available
planertree,PLAQ,Planera aquatica,ULMACE,Elm family,Spring and Summer,No,Green,No,Green,Coarse,Black,No,No,Erect,Early Spring,Routinely Available
American sycamore,PLOC,Platanus occidentalis,PLATAN,Plane-tree family,Spring and Summer,Yes,Red,No,Green,Coarse,Brown,Yes,No,Erect,Spring,Routinely Available
California sycamore,PLRA,Platanus racemosa,PLATAN,Plane-tree family,Spring and Summer,No,Yellow,No,Green,Coarse,Brown,Yes,No,Irregular,Mid Spring,Routinely Available
Arizona sycamore,PLWR2,Platanus wrightii,PLATAN,Plane-tree family,Spring and Summer,No,Yellow,No,Green,Coarse,Brown,No,No,Irregular,Early Spring,Routinely Available
Oriental arborvitae,PLOR80,Platycladus orientalis,CUPRES,Cypress family,Spring and Summer,No,Yellow,No,Green,Fine,Brown,No,Yes,Erect,Mid Spring,Routinely Available
white poplar,POAL7,Populus alba,SALICA,Willow family,Spring and Summer,No,Yellow,No,Green,Coarse,White,Yes,No,Erect,Early Spring,Routinely Available
narrowleaf cottonwood,POAN3,Populus angustifolia,SALICA,Willow family,Summer,Yes,White,Yes,Green,Medium,White,Yes,No,Erect,Spring,Routinely Available
balsam poplar,POBA2,Populus balsamifera,SALICA,Willow family,Spring and Summer,No,Yellow,No,Yellow-Green,Medium,Brown,No,No,Irregular,Late Spring,Routinely Available
black cottonwood,POBAT,Populus balsamifera ssp. trichocarpa,SALICA,Willow family,Spring and Summer,No,Yellow,No,Green,Medium,White,No,No,Erect,Mid Spring,Routinely Available
eastern cottonwood,PODE3,Populus deltoides,SALICA,Willow family,Spring and Summer,No,Yellow,No,Green,Medium,White,Yes,No,Erect,Spring,Routinely Available
